engine,suite,test,metric,unit,value,ts,run_id,round,velox_ver,dd_ver
dd,net,c2c,gbits,gbps,96.38,1787648985.761871,2026-08-24,4,1.2.0,4.88.0
dd,io,cp_out,mbps,MBps,225.3,1787648990.96208,2026-08-24,4,1.2.0,4.88.0
dd,io,cp_in,mbps,MBps,156.2,1787648997.711034,2026-08-24,4,1.2.0,4.88.0
dd,fs,bind_write,mbps,MBps,1382.8,1787648999.157633,2026-08-24,4,1.2.0,4.88.0
dd,fs,bind_read,mbps,MBps,2179.5,1787648999.834202,2026-08-24,4,1.2.0,4.88.0
dd,fs,vol_write,mbps,MBps,1701.1,1787649000.675777,2026-08-24,4,1.2.0,4.88.0
dd,fs,overlay_write,mbps,MBps,1728.4,1787649001.527335,2026-08-24,4,1.2.0,4.88.0
dd,fs,smallfiles_bind,extract_s,s,2.524,1787649004.272541,2026-08-24,4,1.2.0,4.88.0
dd,image,load_local,total_s,s,6.381,1787649014.2094998,2026-08-24,4,1.2.0,4.88.0
dd,image,load_local,size_mb,MB,381,1787649014.342593,2026-08-24,4,1.2.0,4.88.0
dd,realworld,pgbench_init,load_s,s,2.213,1787649019.375784,2026-08-24,4,1.2.0,4.88.0
dd,realworld,pgbench_tps,tps,tps,13055.395465,1787649049.533901,2026-08-24,4,1.2.0,4.88.0
dd,quality,slept,flag,n,0,1787649052.5308,2026-08-24,4,1.2.0,4.88.0
velox,launch,run_true,median_s,s,0.10234348524,1787649165.641856,2026-08-24,4,1.2.0,4.88.0
velox,launch,churn30_per,per_s,s,0.109,1787649169.104745,2026-08-24,4,1.2.0,4.88.0
velox,launch,parallel20_total,total_s,s,0.813,1787649170.128533,2026-08-24,4,1.2.0,4.88.0
velox,net,pubport_h2c_p1,gbits,gbps,43.36,1787649179.7101262,2026-08-24,4,1.2.0,4.88.0
velox,net,pubport_h2c_p4,gbits,gbps,60.83,1787649187.8700569,2026-08-24,4,1.2.0,4.88.0
velox,net,c2host,gbits,gbps,50.95,1787649196.230368,2026-08-24,4,1.2.0,4.88.0
velox,net,c2c,gbits,gbps,131.5,1787649204.717889,2026-08-24,4,1.2.0,4.88.0
velox,io,cp_out,mbps,MBps,564.9,1787649207.1393018,2026-08-24,4,1.2.0,4.88.0
velox,io,cp_in,mbps,MBps,379.8,1787649210.033018,2026-08-24,4,1.2.0,4.88.0
velox,fs,bind_write,mbps,MBps,1578.4,1787649211.471082,2026-08-24,4,1.2.0,4.88.0
velox,fs,bind_read,mbps,MBps,2559.4,1787649212.0916831,2026-08-24,4,1.2.0,4.88.0
velox,fs,vol_write,mbps,MBps,2198.4,1787649212.792533,2026-08-24,4,1.2.0,4.88.0
velox,fs,overlay_write,mbps,MBps,2189.3,1787649213.505397,2026-08-24,4,1.2.0,4.88.0
velox,fs,smallfiles_bind,extract_s,s,3.235,1787649216.976771,2026-08-24,4,1.2.0,4.88.0
velox,image,load_local,total_s,s,6.611,1787649227.5616992,2026-08-24,4,1.2.0,4.88.0
velox,image,load_local,size_mb,MB,381,1787649227.685463,2026-08-24,4,1.2.0,4.88.0
velox,realworld,pgbench_init,load_s,s,2.207,1787649232.75469,2026-08-24,4,1.2.0,4.88.0
velox,realworld,pgbench_tps,tps,tps,14067.183939,1787649262.888236,2026-08-24,4,1.2.0,4.88.0
velox,quality,slept,flag,n,0,1787649265.93985,2026-08-24,4,1.2.0,4.88.0
velox,launch,run_true,median_s,s,0.105538203,1787649375.577232,2026-08-24,5,1.2.0,4.88.0
velox,launch,churn30_per,per_s,s,0.112,1787649379.1409101,2026-08-24,5,1.2.0,4.88.0
velox,launch,parallel20_total,total_s,s,0.884,1787649380.248769,2026-08-24,5,1.2.0,4.88.0
velox,net,pubport_h2c_p1,gbits,gbps,36.34,1787649389.766346,2026-08-24,5,1.2.0,4.88.0
velox,net,pubport_h2c_p4,gbits,gbps,55.25,1787649397.9408052,2026-08-24,5,1.2.0,4.88.0
velox,net,c2host,gbits,gbps,91.78,1787649406.3437178,2026-08-24,5,1.2.0,4.88.0
velox,net,c2c,gbits,gbps,129.64,1787649414.8393202,2026-08-24,5,1.2.0,4.88.0
velox,io,cp_out,mbps,MBps,512.1,1787649417.455403,2026-08-24,5,1.2.0,4.88.0
velox,io,cp_in,mbps,MBps,368.6,1787649420.452192,2026-08-24,5,1.2.0,4.88.0
velox,fs,bind_write,mbps,MBps,1154.9,1787649421.955084,2026-08-24,5,1.2.0,4.88.0
velox,fs,bind_read,mbps,MBps,2407.0,1787649422.608193,2026-08-24,5,1.2.0,4.88.0
velox,fs,vol_write,mbps,MBps,2009.3,1787649423.3631082,2026-08-24,5,1.2.0,4.88.0
velox,fs,overlay_write,mbps,MBps,2103.8,1787649424.10513,2026-08-24,5,1.2.0,4.88.0
velox,fs,smallfiles_bind,extract_s,s,3.081,1787649427.4289012,2026-08-24,5,1.2.0,4.88.0
velox,image,load_local,total_s,s,6.697,1787649442.714117,2026-08-24,5,1.2.0,4.88.0
velox,image,load_local,size_mb,MB,381,1787649442.837305,2026-08-24,5,1.2.0,4.88.0
velox,realworld,pgbench_init,load_s,s,2.182,1787649448.014753,2026-08-24,5,1.2.0,4.88.0
